replicate,n,q,ENE,beta.mu,sigma,x.cor,model,train.oracle.rsq,model.rsq.test,model.rsq.Ey.test,model.mse.test,meanSStot,nme,n2fi1par,n2fi2par,execution.time,seed
1,1000,20,20,3,2,0.8,rf,0.994705804223396,0.874458534696657,0.879514737368863,133.828113210182,781.080366151315,9,10,3,55.0934181213379,10126
1,250,50,20,3,2,0.8,rf,0.977728238118271,0.637955400618073,0.651885107815423,74.6903365488252,177.677244253568,5,5,2,18.4898669719696,10127
1,1000,50,20,3,2,0.8,rf,0.977997116342969,0.744452716679755,0.764134636839028,49.1535272154093,170.662416688366,5,4,2,111.254580974579,10128
2,250,20,10,1,0.5,0,lasso,0.979158277828249,0.967535533329637,0.995632990778833,0.324580613441287,9.2621442808888,4,3,2,0.502691030502319,20001
2,1000,20,10,1,0.5,0,lasso,0.954282507801835,0.958910462202801,0.999612945024962,0.259768293111563,6.16925575201713,4,2,0,0.504312038421631,20002
2,250,50,10,1,0.5,0,lasso,0.988074617203631,0.982040607390504,0.997755806063168,0.333873812095174,16.2368334428201,7,5,4,1.1953980922699,20003
2,1000,50,10,1,0.5,0,lasso,0.946452340457694,0.952793103679778,0.999386104200379,0.260431262077437,5.28293130570496,3,2,0,2.98778796195984,20004
2,250,20,20,1,0.5,0,lasso,0.990823418323109,0.9877450822669,0.997417511209503,0.385668744709109,25.8064676598089,12,8,5,0.318335056304932,20005
2,1000,20,20,1,0.5,0,lasso,0.988053543660377,0.986774746584039,0.999411463737857,0.265634010038338,19.5330279306584,9,4,6,0.525871992111206,20006
2,250,50,20,1,0.5,0,lasso,0.970642710304625,0.970735325143989,0.991879895168194,0.445591800975544,11.3623663770281,7,0,4,1.16901683807373,20007
2,1000,50,20,1,0.5,0,lasso,0.988619686745599,0.986331141010769,0.998889130711865,0.286653543571679,20.0562886879893,11,4,5,2.76687598228455,20008
2,250,20,10,3,0.5,0,lasso,0.998288625990404,0.997573361360135,0.9996172392913,0.311894232245213,122.80217703297,6,2,6,0.183544874191284,20009
2,1000,20,10,3,0.5,0,lasso,0.992755153855573,0.99310015376871,0.999966008921047,0.256615206928256,36.7232034461729,2,2,0,0.465438842773438,20010
2,250,50,10,3,0.5,0,lasso,0.997628371290867,0.997319269582079,0.999245665427537,0.490109250931835,125.309792138229,7,2,5,0.904761075973511,20011
2,1000,50,10,3,0.5,0,lasso,0.999055579771204,0.998941691375642,0.999964994332702,0.319995843816212,243.997069055503,9,8,10,2.35696196556091,20012
2,250,20,20,3,0.5,0,lasso,0.998220038197871,0.997767886522332,0.99964486870946,0.304057488807231,133.54534578113,7,5,3,0.166448831558228,20013
2,1000,20,20,3,0.5,0,lasso,0.999010418915943,0.998910001017196,0.999965630265295,0.271228400747589,239.449849385895,12,9,6,0.270097970962524,20014
2,250,50,20,3,0.5,0,lasso,0.997558736295883,0.996774841032848,0.9994539348253,0.340293898174357,96.1293568618627,7,4,0,0.848092079162598,20015
2,1000,50,20,3,0.5,0,lasso,0.999170743866902,0.999168067843981,0.99994538977572,0.333286061237495,313.621382419374,16,12,7,2.34618091583252,20016
2,250,20,10,1,2,0,lasso,0.70682331314709,0.607321956448231,0.957958225727659,4.35695636513152,10.9499632795868,5,0,2,0.778403997421265,20017
2,1000,20,10,1,2,0,lasso,0.734737998203081,0.698245217328569,0.988151788693213,4.23354134183949,13.9202261930182,5,2,3,0.486379146575928,20018
2,250,50,10,1,2,0,lasso,0.691332682853884,0.580623172885486,0.826977049700699,5.97496053825655,13.5007406662884,5,3,1,1.15378499031067,20019
2,1000,50,10,1,2,0,lasso,0.515022708135824,0.481354850291207,0.986334697028509,4.18326603261113,7.97022757843444,4,0,0,5.14892196655273,20020
2,250,20,20,1,2,0,lasso,0.810011916618939,0.730461176985739,0.889282558207797,6.49974653731656,22.7038225130023,10,4,4,0.583068132400513,20021
2,1000,20,20,1,2,0,lasso,0.724191749379131,0.728643391520056,0.979247197275622,4.32585691256293,15.7251152930363,6,4,2,0.499332904815674,20022
